student_id,nationality,university_applied,qs_rank,program_type,field_of_study,gpa,gpa_scale,gre_verbal,gre_quant,gre_awa,ielts,toefl,publications,research_experience_years,internships,work_experience_years,olympiad_winner,hackathon_wins,open_source_projects,github_stars,kaggle_rank,recommendation_letters,sop_quality,extracurricular_activities,undergrad_university_rank,gap_year,scholarship_applied,accepted,volunteer_hours,awards_count,languages_spoken,leadership_roles,motivation_letter_quality,interview_score
S001,Kazakh,ETH Zurich,7,MASTER,Computer Science,3.8,4.0,158,168,4.5,7.5,,2,2,1,0,0,1,3,450,Expert,3,Excellent,4,150,0,1,1,120,4,3,2,Excellent,8
S002,Kazakh,University of Toronto,34,MASTER,Data Science,3.5,4.0,152,162,3.5,6.5,,0,1,2,1,0,0,1,80,Novice,2,Good,2,200,0,1,1,60,2,2,1,Good,0
S003,Uzbek,TU Munich,50,MASTER,Mechanical Engineering,3.7,5.0,,,, 7.0,,1,2,1,0,0,0,0,0,,3,Good,3,300,0,0,1,80,3,2,2,Good,7
S004,Uzbek,University of Michigan,23,MASTER,Electrical Engineering,3.2,4.0,145,155,3.0,6.0,,0,0,3,2,0,0,0,0,,2,Average,2,500,0,1,0,40,1,2,0,Average,0
S005,Kyrgyz,Heidelberg University,65,BACHELOR,Biology,3.9,5.0,,,,7.5,,0,0,0,0,0,0,0,0,,2,Good,5,400,0,1,1,200,3,3,3,Good,0
S006,Kyrgyz,University of Warsaw,501,BACHELOR,Business Administration,3.0,5.0,,,,5.5,,0,0,1,0,0,0,0,0,,1,Weak,1,600,0,0,0,20,0,2,0,Weak,0
S007,Russian,MIT,1,PHD,Machine Learning,3.95,4.0,168,170,5.0,,,5,4,0,2,1,3,8,2000,Grandmaster,3,Excellent,3,50,0,1,1,50,8,2,2,Excellent,10
S008,Russian,Stanford University,3,PHD,Computer Vision,3.9,4.0,165,169,4.5,,,3,3,1,1,0,2,5,1200,Master,3,Excellent,4,80,0,1,1,30,6,2,2,Excellent,9
S009,Russian,HSE Moscow,251,BACHELOR,Economics,3.1,5.0,,,,,,0,0,0,0,0,0,0,0,,1,Average,2,800,0,0,0,10,1,1,0,Weak,0
S010,Ukrainian,University of Edinburgh,22,MASTER,Software Engineering,3.6,4.0,155,165,4.0,7.0,,1,2,2,1,0,1,2,300,Contributor,3,Good,3,180,0,1,1,90,3,3,1,Good,8
S011,Ukrainian,KU Leuven,45,MASTER,Bioinformatics,3.4,4.0,150,158,3.5,6.5,,1,1,1,0,0,0,1,60,Novice,2,Average,2,250,0,1,0,70,2,2,1,Average,0
S012,Chinese,Peking University,14,PHD,Physics,3.85,4.0,162,170,4.0,,,4,3,0,2,1,1,2,400,Expert,3,Excellent,2,30,0,0,1,20,5,2,1,Excellent,9
S013,Chinese,University of Manchester,51,MASTER,Finance,3.3,4.0,148,155,3.0,6.5,,0,0,2,1,0,0,0,0,,2,Average,2,350,0,1,0,40,1,3,0,Average,0
S014,Chinese,Carnegie Mellon,25,MASTER,Robotics,3.75,4.0,160,168,4.5,,,2,2,1,1,0,2,4,800,Expert,3,Good,3,100,0,1,1,80,4,2,2,Good,8
S015,Indian,IIT Bombay,172,BACHELOR,Computer Science,3.5,4.0,155,165,4.0,,,0,1,1,0,0,1,2,250,Contributor,2,Good,4,200,0,0,1,150,2,2,2,Good,0
S016,Indian,Columbia University,12,MASTER,Financial Engineering,3.7,4.0,158,168,4.0,,,0,1,3,2,0,0,0,0,,3,Excellent,3,180,0,1,1,60,3,3,1,Excellent,9
S017,Indian,NIT Trichy,801,BACHELOR,Mechanical Engineering,2.8,4.0,138,148,2.5,5.5,,0,0,1,0,0,0,0,0,,1,Weak,1,1000,0,0,0,10,0,2,0,Weak,0
S018,Turkish,Middle East Technical,601,MASTER,Civil Engineering,3.2,4.0,142,152,3.0,6.0,,0,1,2,1,0,0,0,0,,2,Average,2,450,0,0,0,30,1,2,0,Average,0
